hour,soil_moisture,soil_temp,soil_ph,soil_ec,air_temp,humidity,co2_ppm,vpd_kpa,growth_stage_encoded,days_since_transplant,scenario
0,62.0,26.285891111467038,6.358702488702569,1.7424889169689417,25.003436040966726,68.72784449799053,844.266400339504,1.2104681662132322,3,30,Drought Stress
1,61.827568632333794,25.758825127686787,6.3770469887354,1.715718685662747,25.0,71.15487948849086,863.5625334070014,1.1545031666516699,3,30,Drought Stress
2,61.64089735373414,26.275390698639352,6.3806735654648925,1.7420973699917532,25.0,71.06001654505681,859.1215728268576,1.2248758519581036,3,30,Drought Stress
3,61.4328425823343,25.03041211592358,6.382384387862411,1.8394162865268573,25.0,72.99588901519613,826.7170220711381,1.1572390292036692,3,30,Drought Stress
4,61.083126507928924,26.520067035999485,6.397485465271973,1.8081384671223097,25.0,72.3901397436093,829.5247823954755,1.0928119157521174,3,30,Drought Stress
5,60.76888393432187,26.16350308341127,6.420138484867967,1.7332369649973418,25.0,69.98323234310203,831.4466804005273,1.1535709919320374,3,30,Drought Stress
6,60.399835398915094,26.504410733134563,6.421370723627825,1.6970963623926314,25.05024178659154,71.24004199216593,821.3617960091434,1.252425241680141,3,30,Drought Stress
7,60.14256066354875,27.913361818400688,6.421926891737657,1.8403896120500252,26.566427335382873,68.37186929367938,796.4379844762888,1.3237063421862,3,30,Drought Stress
8,59.82670669444108,28.915604344107056,6.378831747117258,1.8071147752705685,28.269156498876043,67.45308416638458,803.6673286996944,1.382444281702321,3,30,Drought Stress
9,59.46414765504434,29.53190460781541,6.403241253449909,1.7270466423185225,29.417223146257122,68.13091632086406,778.5638093120881,1.3634865127490334,3,30,Drought Stress
10,59.195082309016364,29.317675796364806,6.391665626816869,1.7252904247445022,31.095374553193757,67.18284553145972,788.6452319152305,1.2995336308270704,3,30,Drought Stress
11,58.849404785260624,30.415575108508072,6.4264894410518,1.7636967347596855,32.87424075770845,65.36598225595664,798.7175119460713,1.3128770456295993,3,30,Drought Stress
12,58.61559737936729,30.826888184326553,6.463296556328636,1.7917625681184757,34.01419395408159,61.857936548334486,846.864441149444,1.3229847546380633,3,30,Drought Stress
13,58.112055456352046,31.863893011100608,6.393478299243085,1.9370498114982935,35.32550021389853,60.29691759604214,860.7535078494592,1.306611190033022,3,30,Drought Stress
14,57.603316140451795,30.796921644372773,6.439086984078131,1.9151276173249572,36.77013892885289,57.49339342650737,867.7893771079976,1.2462488267914804,3,30,Drought Stress
15,57.20869208729015,29.67653067170141,6.406793936122414,1.814110857313556,35.96583390590363,60.48809668654241,866.6508852973035,1.2379408761590192,3,30,Drought Stress
16,56.553646215172314,30.58222467070131,6.370780286988604,1.9453848537332863,36.504719445533965,60.373790759675025,853.6280911867141,1.2635173675693592,3,30,Drought Stress
17,56.03405656620272,30.306304718397776,6.370399787926371,1.968022534539302,34.765479634340736,62.65577743448612,843.0391302850921,1.1912136395599167,3,30,Drought Stress
18,55.43418244839357,29.901673666531526,6.387694354515462,1.990860161737133,33.71880885140903,64.49311900674385,830.7533178805124,1.191852096419161,3,30,Drought Stress
19,54.75607044955768,29.089457472886274,6.424137346140721,1.94823147578966,33.25062970091463,64.40949840872338,844.0597593999921,1.1383936883846557,3,30,Drought Stress
20,54.07509077315319,28.808371911493523,6.511445335583677,1.8976728652193229,32.78308909186316,62.971412934026816,863.667270246387,1.298744549142728,3,30,Drought Stress
21,53.353283006807274,28.25097489140574,6.435186291049676,2.0378127287945333,31.69917833654619,63.087460774524075,850.0206773457821,1.3510686529784945,3,30,Drought Stress
22,52.738055829483685,25.626976448004847,6.414270192904338,1.9429720529194854,30.702424181122858,63.28557964779522,843.563614812137,1.3364981556161513,3,30,Drought Stress
23,52.163550576290305,25.66548516578893,6.423144603448344,1.9362115815247674,30.26862997843651,62.13139781085413,852.1980336291207,1.4003947017483687,3,30,Drought Stress
24,51.529508307926264,25.198021848916905,6.399755614870117,1.9013005571858248,29.149236436407907,63.26458121728467,870.7361933183371,1.3994103779879208,3,31,Drought Stress
25,51.128608473019966,25.263785263441154,6.342953500127612,2.0514668434437726,28.83957478635466,62.01814315641961,885.8295461735008,1.3533356787378064,3,31,Drought Stress
26,50.68367534388343,25.65976994040649,6.349683470361035,2.0949169976869815,27.93229333500944,63.191601142128796,908.2814572105447,1.3594052425028358,3,31,Drought Stress
27,50.21208028573659,24.654884768836883,6.361369788525094,2.0643397817865363,27.018816275366895,63.58041619111444,900.7176685539386,1.3558654768945904,3,31,Drought Stress
28,49.68366730987681,25.162163615871112,6.384016764132401,2.1404279230749084,26.348728876093613,64.2413632244886,896.0302026572974,1.605273702127658,3,31,Drought Stress
29,48.9377011758683,27.315064269145196,6.375052540703111,2.2839378289987273,28.727529068014878,66.07488361611409,900.5594476907524,1.4887488903016672,3,31,Drought Stress
