hour,soil_moisture,soil_temp,soil_ph,soil_ec,air_temp,humidity,co2_ppm,vpd_kpa,growth_stage_encoded,days_since_transplant,scenario,anomaly_injected
0,74.0,25.560084040508652,6.366678152994447,1.7692374773944235,26.09692298529948,73.26034981044324,845.4837120247463,0.8,3,30,Sensor Anomaly,0
1,73.5843920643767,26.404022199087514,6.378231502501347,1.8661951795396345,25.962538952115437,72.48639045531873,843.52940908203,0.8444723857412852,3,30,Sensor Anomaly,0
2,72.94715224107945,25.559433859575833,6.320848713278171,1.8624006618022728,25.103820893873664,72.95763944028187,850.4590008468501,0.8164862913074301,3,30,Sensor Anomaly,0
3,72.79069453354822,25.939433580597832,6.2764747586097025,1.9398355606078455,25.0,74.48561976948628,862.6450656565747,0.8,3,30,Sensor Anomaly,0
4,72.41810631448617,25.01865228429127,6.260707533234096,1.9156055897443718,25.0,74.94977318238607,855.6825876107622,0.8,3,30,Sensor Anomaly,0
5,72.11718737936161,24.79359373327533,6.269053666698502,1.8193292937240813,25.980935386076737,74.02641278784728,852.5377838918973,0.8,3,30,Sensor Anomaly,0
6,71.76532079253087,26.019182996150988,6.277512089329577,1.8714103840039327,27.43090337734838,70.86125481890559,850.2234415269452,0.8154471840365736,3,30,Sensor Anomaly,0
7,71.49369415560695,27.089947275571287,6.293026128044774,1.8112661558209588,29.183557455082205,66.68587265181476,847.1456357893713,0.8,3,30,Sensor Anomaly,0
8,71.45544704462276,28.04098894525666,6.313457824943803,1.835813000614921,30.18039464271553,66.57666026045176,820.7959451507817,0.8946693147987776,3,30,Sensor Anomaly,0
9,71.21356305504501,30.33286307077108,6.306156396037227,1.904256686099819,32.911712883352216,63.145473516585724,816.4461083205314,0.8719009507791088,3,30,Sensor Anomaly,0
10,70.89169415796488,31.950852348132955,6.329768727659689,1.9267473051733641,35.01774120904936,63.18343319767552,804.8638443870107,0.9845809276609221,3,30,Sensor Anomaly,0
