hour,soil_moisture,soil_temp,soil_ph,soil_ec,air_temp,humidity,co2_ppm,vpd_kpa,growth_stage_encoded,days_since_transplant,scenario,rf_pred,rf_confidence,xgb_pred,xgb_confidence,lstm_pred,ensemble_pred,ensemble_confidence,anomaly_detected,anomaly_injected
0,74.0,25.560084040508652,6.366678152994447,1.7692374773944235,26.09692298529948,73.26034981044324,845.4837120247463,0.8,3,30,Normal Operation,0,0.0108,0,0.0008,0,0,0.0065,0,
1,73.84324310433396,26.404022199087514,6.378231502501347,1.8661951795396345,25.962538952115437,72.48639045531873,843.52940908203,0.8444723857412852,3,30,Normal Operation,0,0.0108,0,0.0008,0,0,0.0066,0,
2,73.42441571593487,25.559433859575833,6.320848713278171,1.8624006618022728,25.103820893873664,72.95763944028187,850.4590008468501,0.8164862913074301,3,30,Normal Operation,0,0.0295,0,0.0008,0,0,0.0131,0,
3,73.36450595509616,25.939433580597832,6.2764747586097025,1.9398355606078455,25.0,74.48561976948628,862.6450656565747,0.8,3,30,Normal Operation,0,0.015,0,0.0007,0,0,0.008,0,
4,73.34261889837441,25.01865228429127,6.260707533234096,1.9156055897443718,25.0,74.94977318238607,855.6825876107622,0.8,3,30,Normal Operation,0,0.015,0,0.0007,0,0,0.0079,0,
5,72.73456437755503,24.79359373327533,6.269053666698502,1.8193292937240813,25.980935386076737,74.02641278784728,852.5377838918973,0.8,3,30,Normal Operation,0,0.02,0,0.0008,0,0,0.0109,0,
6,72.24468124916379,26.019182996150988,6.277512089329577,1.8714103840039327,27.43090337734838,70.86125481890559,850.2234415269452,0.8154471840365736,3,30,Normal Operation,0,0.0337,0,0.0007,0,0,0.0176,0,
7,72.0267808701566,27.089947275571287,6.293026128044774,1.8112661558209588,29.183557455082205,66.68587265181476,847.1456357893713,0.8,3,30,Normal Operation,0,0.019,0,0.0009,0,0,0.0157,0,
8,71.71208919454617,28.04098894525666,6.313457824943803,1.835813000614921,30.18039464271553,66.57666026045176,820.7959451507817,0.8946693147987776,3,30,Normal Operation,0,0.0186,0,0.0024,0,0,0.02,0,
9,71.43543525997849,30.33286307077108,6.306156396037227,1.904256686099819,32.911712883352216,63.145473516585724,816.4461083205314,0.8719009507791088,3,30,Normal Operation,0,0.0471,0,0.0053,0,0,0.0483,0,
10,70.97468454479137,31.950852348132955,6.329768727659689,1.9267473051733641,35.01774120904936,63.18343319767552,804.8638443870107,0.9845809276609221,3,30,Normal Operation,0,0.0411,0,0.0054,0,0,0.0771,0,
11,70.8532901246787,32.27122704787029,6.3669353425887865,1.9181119575157697,35.90925188565679,62.54001316483475,787.4074449790203,1.0870020821402497,3,30,Normal Operation,0,0.0377,0,0.0047,0,0,0.0893,0,
12,70.70880924872564,31.92404395969354,6.38420334675797,1.8188284442803164,36.25490787985441,60.41773707010529,773.1635022476538,1.3272653857331074,3,30,Normal Operation,0,0.0402,0,0.0045,0,0,0.097,0,
13,70.41956333590598,31.609114721633198,6.41729355412266,1.811594711542033,36.55650654148971,60.802293146175174,769.2105794282173,1.4127917792845572,3,30,Normal Operation,0,0.0745,0,0.0042,0,0,0.121,0,
14,70.34551698277926,31.838029213698903,6.473506946442645,1.7594607384989984,36.186824315040575,62.44340071073924,757.7422067916581,1.4511575084319903,3,30,Normal Operation,0,0.0862,0,0.0046,0,0,0.1251,0,
15,70.1393647885591,33.18339443415936,6.434310238722914,1.8582938880742275,36.20675783381898,62.381494415317405,745.3701509138083,1.4363812890759347,3,30,Normal Operation,0,0.2273,0,0.0046,0,0,0.1767,0,
16,69.67538240306966,32.430416391752836,6.478729621330589,1.8811215304262239,35.26548661410004,61.19492380783032,759.207802726483,1.3543199858821877,3,30,Normal Operation,0,0.398,1,0.8149,0,1,0.5686,0,
17,69.45905734950146,31.373377357010146,6.4239972864204,1.9177883642157114,35.00940129808679,62.01850675697486,782.3482506578325,1.264288555496333,3,30,Normal Operation,1,0.5195,1,0.9702,0,1,0.6784,0,
18,68.9889628203563,30.423406699687643,6.415940442570451,1.9616018789204794,33.539751122418664,63.846123244887316,789.7845187597264,1.1530132715220496,3,30,Normal Operation,1,0.553,1,0.9724,0,1,0.6887,0,
19,68.89923861739668,30.01947268421165,6.445326723770102,1.9494026055818616,31.926782902635686,66.55266133927088,811.775527503026,1.1338847511307246,3,30,Normal Operation,0,0.4386,1,0.9433,0,1,0.6166,0,
20,68.62524896944417,29.990811875324383,6.479154454593159,1.8830477246681467,31.75055821940704,67.5528618107972,816.3051693825166,1.1346690809855482,3,30,Normal Operation,0,0.4174,1,0.8064,0,1,0.5691,0,
21,68.34280463769142,27.593724106666656,6.48216367810294,1.856668851096626,29.43398238046297,66.81552775608289,814.4142672864587,1.0024369958523722,3,30,Normal Operation,0,0.087,0,0.0104,0,0,0.1168,0,
22,67.98265330614296,26.013394524920926,6.485121209056143,1.836710456432232,26.74567783345736,67.83775856486078,807.9089103562258,0.904254459248548,3,30,Normal Operation,0,0.0569,0,0.009,0,0,0.0855,0,
23,68.0083032379929,26.076873558509345,6.507708194218463,1.7829265916578798,26.107291985606867,69.69181676204317,813.365047123432,0.8766601001605187,3,30,Normal Operation,0,0.0597,0,0.01,0,0,0.0814,0,
